Label,Message
spam,"Win a free iPhone now!!!"
ham,"Hey, did you finish the report?"
spam,"Claim your $1000 cash prize today!"
ham,"Can you join the Zoom call at 3 PM?"
spam,"Congratulations! You have won a prize!"
ham,"Don't forget to bring the documents tomorrow."
spam,"Act fast! Limited-time free gift for you!"
ham,"Are you coming to the office party tonight?"
spam,"Urgent! Claim your free reward now!"
ham,"Please review the email I sent yesterday."
spam,"Get your free entry to the lucky draw!"
ham,"Let's meet for coffee tomorrow morning."
spam,"Earn $5000 per week from home!"
ham,"Can you check the meeting agenda?"
spam,"Free gift cards waiting for you! Click here!"
ham,"Reminder: team meeting at 2 PM today."
spam,"You are selected for a free iPhone giveaway!"
ham,"Please send me the updated presentation slides."
spam,"Win a luxury vacation to Paris for free!"
ham,"Are you available for a call this evening?"
spam,"Limited offer! Free trial for premium services!"
ham,"Don't forget to submit your assignment."
spam,"Claim your free subscription now!"
ham,"Let's discuss the project progress tomorrow."
spam,"Free online courses available! Enroll now!"
ham,"Please confirm your attendance for the meeting."
spam,"Get free Bitcoin instantly!"
ham,"Are we still meeting for lunch today?"
spam,"Exclusive: Claim your free shopping voucher!"
ham,"Don't forget to complete the feedback form."
spam,"Win a brand new laptop today!"
ham,"Can you share the team notes from yesterday?"
spam,"Congratulations! You've won a free cruise trip!"
ham,"Please review the draft document before sending."
spam,"Free access to premium software for you!"
ham,"Are you attending the workshop next week?"
spam,"Claim your free smartphone today!"
ham,"Let's meet at the café at 5 PM."
spam,"Urgent! Free cash reward for selected users!"
ham,"Did you check the emails I sent this morning?"
spam,"You are eligible for a $100 gift card!"
ham,"Please send me the latest version of the code."
spam,"Win free tickets to the concert now!"
ham,"Can we reschedule our meeting to Thursday?"
spam,"Limited-time offer: Free products for you!"
ham,"Don't forget to bring your ID tomorrow."
spam,"Congratulations! You are selected for a prize!"
ham,"Are you available for a team discussion today?"
spam,"Free subscription to our service! Claim now!"
ham,"Please confirm your attendance at the seminar."
spam,"Act now! Free gift card waiting for you!"
ham,"Can you send me the updated client list?"
spam,"Win big cash prizes instantly!"
ham,"Let's have a call to finalize the details."
spam,"Free entry into our exclusive lottery!"
ham,"Did you finish the presentation slides?"
spam,"Exclusive offer! Free Netflix subscription!"
ham,"Can you review the budget report?"
spam,"Get your free vacation package today!"
ham,"Please check the project timeline."
spam,"Win a luxury cruise trip now!"
ham,"Are you attending the client meeting?"
spam,"Urgent! Claim your free tablet today!"
ham,"Please confirm the team lunch schedule."
spam,"Congratulations! Free shopping spree for you!"
ham,"Let's meet to finalize the presentation."
spam,"Act fast! Free trial for premium content!"
ham,"Can you send the updated slides?"
spam,"You are selected for a $500 gift card!"
ham,"Please review the financial report."
spam,"Free gold membership for selected users!"
ham,"Are you ready for tomorrow's meeting?"
spam,"Win free tickets to the big concert!"
ham,"Don't forget to submit the monthly report."
spam,"Claim your free iPad now!"
ham,"Can you check the email I sent yesterday?"
spam,"Limited-time offer: Free courses for all!"
ham,"Let's have a quick call about the project."
spam,"Get free access to premium tools!"
ham,"Please send the final version of the draft."
spam,"Congratulations! You've won a free laptop!"
ham,"Are you available for a Zoom meeting?"
spam,"Free online resources for you, claim now!"
ham,"Don't forget to update the client tracker."
spam,"Act now! Win a luxury smartwatch!"
ham,"Please check the latest version of the report."
spam,"Win a free smartphone instantly!"
ham,"Let's meet for coffee tomorrow morning."
spam,"Urgent! Claim your free gold coins!"
ham,"Can you review the project document?"
spam,"Exclusive: Free cash prize waiting!"
ham,"Are you attending the team briefing today?"
spam,"Get your free Amazon voucher now!"
ham,"Please confirm the attendance for the meeting."
spam,"Win a brand new gaming console!"
ham,"Can you send the updated budget file?"
spam,"Claim your free holiday package!"
ham,"Don't forget to submit the tax forms."
spam,"Congratulations! You are selected for a prize!"
ham,"Please review the client feedback document."
spam,"Free subscription to our magazine!"
ham,"Are you available for a call this afternoon?"
spam,"Act fast! Win free shopping vouchers!"
ham,"Can you send the final draft of the proposal?"
spam,"You are eligible for $1000 cash reward!"
ham,"Let's have a discussion about the project plan."
spam,"Limited-time: Free tablet giveaway!"
ham,"Please check the latest presentation slides."
spam,"Get free access to premium online courses!"
ham,"Are you ready for the team meeting?"
spam,"Win big cash prizes today!"
ham,"Can you share the meeting notes?"
spam,"Claim your free iPhone today!"
ham,"Don't forget to complete your assignments."
spam,"Urgent! Free reward for selected users!"
ham,"Please confirm the seminar attendance."
spam,"Congratulations! You've won a free vacation!"
ham,"Are you attending the client call?"
spam,"Act now! Free gift card offer!"
ham,"Can you check the project tracker?"
spam,"Win a free smart watch today!"
ham,"Let's discuss the client proposal tomorrow."
spam,"Exclusive offer: Free iPad subscription!"
ham,"Please send the final version of the slides."
spam,"Get free Bitcoin instantly!"
ham,"Don't forget to update the project report."
spam,"Claim your free gaming laptop now!"
ham,"Are you ready for tomorrow's presentation?"
spam,"Win big cash prizes today!"
ham,"Please confirm the client meeting attendance."
spam,"Claim your free iPhone today!"
ham,"Are you ready for tomorrow's workshop?"
spam,"Urgent! Free reward for selected users!"
ham,"Let's discuss the financial proposal."
spam,"Congratulations! You've won a free vacation!"
ham,"Please review the client emails."
spam,"Act now! Free gift card offer!"
ham,"Can you send the final budget draft?"
spam,"Win a free smart watch today!"
ham,"Are you attending the team briefing?"
spam,"Exclusive offer: Free iPad subscription!"
ham,"Let's meet to finalize the client report."
spam,"Get free Bitcoin instantly!"
ham,"Please check the latest project tracker."
spam,"Claim your free gaming laptop now!"
ham,"Are you ready for the client meeting?"
spam,"Free entry into our exclusive lottery!"
ham,"Can you review the team presentation?"
spam,"Win a luxury car for free!"
ham,"Don't forget to submit the financial report."
spam,"Urgent! Free subscription to our newsletter!"
ham,"Please confirm the seminar attendance."
spam,"Congratulations! You are selected for free gift!"
ham,"Let's meet to finalize the project plan."
spam,"Act fast! Free access to premium software!"
ham,"Can you send the updated client emails?"
spam,"You are eligible for a free cruise trip!"
ham,"Please check the meeting notes."
spam,"Limited-time offer: Free cash reward!"
ham,"Are you ready for the workshop?"
spam,"Get your free tablet today!"
ham,"Don't forget to update the project tracker."
spam,"Win free tickets to the music concert!"
ham,"Can you review the presentation slides?"
spam,"Claim your free iPhone now!"
ham,"Let's have a quick call about the project."
spam,"Free gift vouchers available!"
ham,"Please send the final draft of the client report."
spam,"Congratulations! You've won a free laptop!"
ham,"Are you attending the team meeting?"
spam,"Act now! Free trial for online courses!"
ham,"Don't forget to review the project plan."
spam,"You are selected for a $500 cash prize!"
ham,"Please check the financial proposal."
spam,"Free gold membership for selected users!"
ham,"Are you ready for tomorrow's client call?"
spam,"Win free tickets to the big event!"
ham,"Can you review the project tracker?"
spam,"Claim your free iPad now!"
ham,"Let's meet to discuss the presentation."
spam,"Limited-time offer: Free online courses!"
ham,"Please send the final version of the slides."
spam,"Get free access to premium tools!"
ham,"Are you attending the team meeting?"
spam,"Congratulations! You've won a free smartphone!"
ham,"Don't forget to submit the assignments."
spam,"Free online resources for you!"
ham,"Can you check the updated presentation?"
spam,"Act now! Win a luxury smartwatch!"
ham,"Please confirm the client meeting attendance."
spam,"Win a free Amazon voucher today!"
ham,"Are you attending the financial briefing?"
spam,"Urgent! Claim your free gold coins!"
ham,"Let's have a call regarding the project."
spam,"Exclusive: Free cash prize waiting!"
ham,"Can you send the final draft of the slides?"
spam,"Get your free gaming console now!"
ham,"Please check the team meeting notes."
spam,"Claim your free holiday package!"
ham,"Are you ready for tomorrow's workshop?"
spam,"Congratulations! You are selected for a free prize!"
ham,"Let's meet to finalize the budget."
spam,"Free subscription to our magazine!"
ham,"Can you review the project plan?"
spam,"Act fast! Win free shopping vouchers!"
ham,"Please send the updated client list."
spam,"You are eligible for $1000 cash reward!"
ham,"Are you attending the seminar today?"
spam,"Limited-time: Free tablet giveaway!"
ham,"Don't forget to submit the report."
spam,"Get free access to premium online courses!"
ham,"Can you check the presentation slides?"
spam,"Win big cash prizes today!"
ham,"Please confirm the client meeting attendance."
spam,"You have been selected for a special offer, please review now"
ham,"Please review the offer discussed in today's meeting"
spam,"Your account qualifies for an exclusive reward"
ham,"Your account details were updated successfully"
spam,"Reminder: claim benefits before account expires"
ham,"Reminder to submit benefits form by Friday"
spam,"Final notice regarding account activity"
ham,"Final notice for project submission deadline"
spam,"Limited access granted to premium features"
ham,"Access granted to the shared project folder"
spam,"Your subscription renewal includes special benefits"
ham,"Subscription renewal confirmation attached"
spam,"Payment received, additional bonus unlocked"
ham,"Payment received for invoice #2389"
spam,"Urgent update required to avoid service interruption"
ham,"Urgent update required for project documentation"
spam,"You are eligible for a cash benefit program"
ham,"You are eligible for employee benefit enrollment"
spam,"Click to verify your account eligibility"
ham,"Please verify your account login credentials"
spam,"Action required to receive complimentary access"
ham,"Action required for compliance review"
spam,"New reward available under your membership"
ham,"New responsibilities assigned under your membership role"
spam,"Confirm now to receive additional incentives"
ham,"Confirm attendance for incentive planning meeting"
spam,"Your request qualifies for priority processing"
ham,"Your request qualifies for priority support"
spam,"Exclusive deal available for valued users"
ham,"Exclusive client meeting scheduled tomorrow"
spam,"Limited slots available, respond immediately"
ham,"Limited slots available for training session"
spam,"Claim pending benefits linked to your account"
ham,"Claim pending reimbursements from finance department"
spam,"Final opportunity to activate account rewards"
ham,"Final opportunity to update account password"
spam,"Special promotion applied to your profile"
ham,"Profile updated with special project permissions"
spam,"Immediate response required to avoid account suspension"
ham,"Immediate response required for audit clarification"